veracross_class_id,class_id,school_year,veracross_student_id,enrollment_level_id
Course 1,Course 1,2021-22,johndoe260@pingry.org,4
Course 23,Course 23,2021-22,johndoe261@pingry.org,3
Course 35,Course 35,2021-22,johndoe262@pingry.org,5
Course 30,Course 30,2021-22,johndoe263@pingry.org,4
Course 28,Course 28,2021-22,johndoe264@pingry.org,3
Course 27,Course 27,2021-22,johndoe265@pingry.org,3
Course 31,Course 31,2021-22,johndoe266@pingry.org,3
Course 5,Course 5,2021-22,johndoe267@pingry.org,3
Course 26,Course 26,2021-22,johndoe268@pingry.org,4
Course 7,Course 7,2021-22,johndoe269@pingry.org,3
Course 28,Course 28,2021-22,johndoe270@pingry.org,3
Course 34,Course 34,2021-22,johndoe271@pingry.org,5
Course 24,Course 24,2021-22,johndoe272@pingry.org,3
Course 19,Course 19,2021-22,johndoe273@pingry.org,4
Course 34,Course 34,2021-22,johndoe274@pingry.org,3
Course 5,Course 5,2021-22,johndoe275@pingry.org,3
Course 24,Course 24,2021-22,johndoe276@pingry.org,4
Course 22,Course 22,2021-22,johndoe277@pingry.org,4
Course 26,Course 26,2021-22,johndoe278@pingry.org,3
Course 36,Course 36,2021-22,johndoe279@pingry.org,3
Course 14,Course 14,2021-22,johndoe280@pingry.org,3
Course 27,Course 27,2021-22,johndoe281@pingry.org,4
Course 4,Course 4,2021-22,johndoe282@pingry.org,5
Course 3,Course 3,2021-22,johndoe283@pingry.org,5
Course 20,Course 20,2021-22,johndoe284@pingry.org,4
Course 13,Course 13,2021-22,johndoe285@pingry.org,3
Course 24,Course 24,2021-22,johndoe286@pingry.org,3
Course 23,Course 23,2021-22,johndoe287@pingry.org,4
Course 15,Course 15,2021-22,johndoe288@pingry.org,4
Course 19,Course 19,2021-22,johndoe289@pingry.org,3
Course 20,Course 20,2021-22,johndoe290@pingry.org,3
Course 34,Course 34,2021-22,johndoe291@pingry.org,5
Course 13,Course 13,2021-22,johndoe292@pingry.org,4
Course 5,Course 5,2021-22,johndoe293@pingry.org,4
Course 29,Course 29,2021-22,johndoe294@pingry.org,5
Course 21,Course 21,2021-22,johndoe295@pingry.org,3
Course 13,Course 13,2021-22,johndoe296@pingry.org,3
Course 14,Course 14,2021-22,johndoe297@pingry.org,4
Course 23,Course 23,2021-22,johndoe298@pingry.org,5
Course 39,Course 39,2021-22,johndoe299@pingry.org,3
Course 14,Course 14,2021-22,johndoe300@pingry.org,3
Course 20,Course 20,2021-22,johndoe301@pingry.org,4
Course 19,Course 19,2021-22,johndoe302@pingry.org,3
Course 27,Course 27,2021-22,johndoe303@pingry.org,5
Course 21,Course 21,2021-22,johndoe304@pingry.org,3
Course 31,Course 31,2021-22,johndoe305@pingry.org,4
Course 16,Course 16,2021-22,johndoe306@pingry.org,5
Course 5,Course 5,2021-22,johndoe307@pingry.org,4
Course 15,Course 15,2021-22,johndoe308@pingry.org,4
Course 15,Course 15,2021-22,johndoe309@pingry.org,4
Course 35,Course 35,2021-22,johndoe310@pingry.org,4
Course 6,Course 6,2021-22,johndoe311@pingry.org,5
Course 16,Course 16,2021-22,johndoe312@pingry.org,5
Course 28,Course 28,2021-22,johndoe313@pingry.org,4
Course 32,Course 32,2021-22,johndoe314@pingry.org,4
Course 22,Course 22,2021-22,johndoe315@pingry.org,3
Course 29,Course 29,2021-22,johndoe316@pingry.org,3
Course 24,Course 24,2021-22,johndoe317@pingry.org,4
Course 26,Course 26,2021-22,johndoe318@pingry.org,3
Course 31,Course 31,2021-22,johndoe319@pingry.org,3
Course 11,Course 11,2021-22,johndoe320@pingry.org,5
Course 16,Course 16,2021-22,johndoe321@pingry.org,4
Course 7,Course 7,2021-22,johndoe322@pingry.org,4
Course 14,Course 14,2021-22,johndoe323@pingry.org,4
Course 8,Course 8,2021-22,johndoe324@pingry.org,4
Course 12,Course 12,2021-22,johndoe325@pingry.org,5
Course 26,Course 26,2021-22,johndoe326@pingry.org,5
Course 1,Course 1,2021-22,johndoe327@pingry.org,5
Course 23,Course 23,2021-22,johndoe328@pingry.org,5
Course 40,Course 40,2021-22,johndoe329@pingry.org,4
Course 30,Course 30,2021-22,johndoe330@pingry.org,5
Course 8,Course 8,2021-22,johndoe331@pingry.org,3
Course 6,Course 6,2021-22,johndoe332@pingry.org,5
Course 19,Course 19,2021-22,johndoe333@pingry.org,5
Course 7,Course 7,2021-22,johndoe334@pingry.org,5
Course 17,Course 17,2021-22,johndoe335@pingry.org,4
Course 26,Course 26,2021-22,johndoe336@pingry.org,3
Course 24,Course 24,2021-22,johndoe337@pingry.org,4
Course 21,Course 21,2021-22,johndoe338@pingry.org,5
Course 11,Course 11,2021-22,johndoe339@pingry.org,5
Course 31,Course 31,2021-22,johndoe340@pingry.org,3
Course 18,Course 18,2021-22,johndoe341@pingry.org,4
Course 4,Course 4,2021-22,johndoe342@pingry.org,4
Course 21,Course 21,2021-22,johndoe343@pingry.org,4
Course 29,Course 29,2021-22,johndoe344@pingry.org,4
Course 23,Course 23,2021-22,johndoe345@pingry.org,5
Course 27,Course 27,2021-22,johndoe346@pingry.org,4
Course 28,Course 28,2021-22,johndoe347@pingry.org,3
Course 21,Course 21,2021-22,johndoe348@pingry.org,4
Course 13,Course 13,2021-22,johndoe349@pingry.org,5
Course 22,Course 22,2021-22,johndoe350@pingry.org,4
Course 10,Course 10,2021-22,johndoe351@pingry.org,5
Course 31,Course 31,2021-22,johndoe352@pingry.org,3
Course 33,Course 33,2021-22,johndoe353@pingry.org,5
Course 31,Course 31,2021-22,johndoe354@pingry.org,5
Course 29,Course 29,2021-22,johndoe355@pingry.org,5
Course 30,Course 30,2021-22,johndoe356@pingry.org,5
Course 22,Course 22,2021-22,johndoe357@pingry.org,4
Course 15,Course 15,2021-22,johndoe358@pingry.org,5
Course 27,Course 27,2021-22,johndoe359@pingry.org,4
Course 25,Course 25,2021-22,johndoe360@pingry.org,5
Course 7,Course 7,2021-22,johndoe361@pingry.org,4
Course 17,Course 17,2021-22,johndoe362@pingry.org,3
Course 15,Course 15,2021-22,johndoe363@pingry.org,3
Course 16,Course 16,2021-22,johndoe364@pingry.org,3
Course 12,Course 12,2021-22,johndoe365@pingry.org,4
Course 14,Course 14,2021-22,johndoe366@pingry.org,5
Course 13,Course 13,2021-22,johndoe367@pingry.org,3
Course 40,Course 40,2021-22,johndoe368@pingry.org,3
Course 22,Course 22,2021-22,johndoe369@pingry.org,5
Course 24,Course 24,2021-22,johndoe370@pingry.org,3
Course 15,Course 15,2021-22,johndoe371@pingry.org,4
Course 12,Course 12,2021-22,johndoe372@pingry.org,4
Course 24,Course 24,2021-22,johndoe373@pingry.org,4
Course 18,Course 18,2021-22,johndoe374@pingry.org,5
Course 9,Course 9,2021-22,johndoe375@pingry.org,3
Course 22,Course 22,2021-22,johndoe376@pingry.org,3
Course 19,Course 19,2021-22,johndoe377@pingry.org,4
Course 37,Course 37,2021-22,johndoe378@pingry.org,3
Course 20,Course 20,2021-22,johndoe379@pingry.org,3
Course 21,Course 21,2021-22,johndoe380@pingry.org,4
Course 19,Course 19,2021-22,johndoe381@pingry.org,5
Course 15,Course 15,2021-22,johndoe382@pingry.org,5
Course 30,Course 30,2021-22,johndoe383@pingry.org,4
Course 19,Course 19,2021-22,johndoe384@pingry.org,4
Course 19,Course 19,2021-22,johndoe385@pingry.org,5
Course 20,Course 20,2021-22,johndoe386@pingry.org,3
Course 28,Course 28,2021-22,johndoe387@pingry.org,4
Course 1,Course 1,2021-22,johndoe388@pingry.org,5
Course 30,Course 30,2021-22,johndoe389@pingry.org,4
Course 35,Course 35,2021-22,johndoe390@pingry.org,4
Course 14,Course 14,2021-22,johndoe391@pingry.org,3
Course 16,Course 16,2021-22,johndoe392@pingry.org,4
Course 5,Course 5,2021-22,johndoe393@pingry.org,3
Course 25,Course 25,2021-22,johndoe394@pingry.org,3
Course 17,Course 17,2021-22,johndoe395@pingry.org,5
Course 34,Course 34,2021-22,johndoe396@pingry.org,3
Course 37,Course 37,2021-22,johndoe397@pingry.org,4
Course 27,Course 27,2021-22,johndoe398@pingry.org,4
Course 30,Course 30,2021-22,johndoe399@pingry.org,5
